区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,铜厂子胡同 ,2室1厅,49.69,560,112699,房本满五年,南北,简装,无电梯,顶层(共5层)1979年建板楼,,-
东城,胡家园小区 ,2室1厅,52.87,520,98355,房本满五年,东北,简装,无,底层(共6层)1985年建板楼,,-
东城,天天家园 ,2室1厅,119.86,899,75005,房本满五年,南,精装,有电梯,高楼层(共11层)2002年建板塔结合,,-
东城,左安浦园 ,2室1厅,90.38,780,86303,房本满五年,东南,简装,有电梯,高楼层(共16层)2004年建板塔结合,,-
东城,北官厅胡同甲二号院 ,4室1厅,91.71,1080,117763,房本满五年,南北,简装,无电梯,低楼层(共6层)1993年建板楼,,-
东城,金鱼池中区 ,5室2厅,137.27,980,71393,房本满五年,东西,精装,无,顶层(共6层)2002年建板楼,,-
东城,景泰东里 ,1室1厅,51.73,450,86991,房本满五年,南,简装,无电梯,低楼层(共6层)1994年建板楼,,-
东城,和平里二区 ,2室1厅,75.41,750,99457,房本满五年,东南,精装,无,低楼层(共20层)2006年建塔楼,,-
东城,万国城MOMA ,2室2厅,109.28,1250,114386,房本满五年,东北,简装,有电梯,低楼层(共25层)2002年建板塔结合,,-
东城,水上华城 ,3室2厅,134.04,1380,102955,房本满五年,东南,精装,无,低楼层(共20层)2004年建板塔结合,,-
东城,保利蔷薇 ,1室1厅,60.1,710,118137,房本满五年,东南,精装,有电梯,中楼层(共16层)2008年建板塔结合,,-
东城,东花市北里中区 ,2室2厅,103.41,1130,109274,房本满五年,南北,简装,无,中楼层(共5层)1994年建板楼,,-
东城,广渠家园 ,2室1厅,61.61,610,99010,房本满五年,西,简装,无,中楼层(共28层)2009年建塔楼,,-
东城,安贞苑50号院 ,3室2厅,128.36,1450,112964,房本满五年,南北,精装,无电梯,低楼层(共6层)2000年建板楼,,-
东城,天娇园 ,3室2厅,125.84,1400,111253,房本满五年,东南,精装,有电梯,低楼层(共11层)2008年建板塔结合,,-
东城,青年湖北里 ,3室1厅,78.66,720,91534,房本满五年,东南北,简装,无,中楼层(共6层)1988年建板楼,,-
东城,北官厅胡同 ,1室1厅,35.44,530,149549,房本满五年,南,简装,无电梯,底层(共6层)1988年建板楼,,-
东城,东环居苑 ,2室2厅,99.23,900,90699,房本满五年,东南,精装,有电梯,低楼层(共18层)2004年建塔楼,,-
东城,青年湖东里 ,3室1厅,78.23,860,109933,房本满五年,南西北,简装,有电梯,中楼层(共18层)1988年建塔楼,,-
东城,和平新城一期 ,2室1厅,122.76,1410,114859,房本满五年,西北,精装,无,低楼层(共19层)2003年建板塔结合,,-
东城,景泰西里西区 ,1室1厅,60.72,515,84816,房本满五年,南,简装,无,高楼层(共8层)2005年建板塔结合,,-
东城,安贞苑50号院 ,2室1厅,65.82,715,108630,房本满五年,南北,简装,无电梯,中楼层(共6层)1996年建板楼,,-
东城,青年湖南里 ,2室1厅,55.6,620,111511,房本满五年,南,简装,无,低楼层(共12层)1990年建板塔结合,,-
东城,北河沿大街 ,1室1厅,33.71,455,134975,房本满五年,南,简装,无,底层(共6层)1989年建塔楼,,-
东城,海运仓小区 ,3室1厅,77.38,1040,134402,房本满五年,东西,简装,无,中楼层(共5层)2002年建板楼,,-
东城,鸿安国际大厦 ,3室1厅,206.7,1450,70150,,东西,简装,有电梯,中楼层(共13层)2004年建板塔结合,,-
东城,华龙美晟 ,2室1厅,84,670,79762,,西,简装,有电梯,底层(共12层)2009年建板塔结合,,-
东城,阳光都市 ,2室1厅,102.98,1150,111673,,东,简装,有电梯,低楼层(共24层)2000年建塔楼,,-
东城,民安小区东直门北中街 ,3室1厅,67.17,785,116868,,东南西,其他,无,顶层(共6层)1988年建板楼,,-
东城,民安小区东直门北中街 ,2室1厅,77.97,850,109017,,东西,精装,无,中楼层(共13层)2002年建板塔结合,,-
东城,雅宝公寓 ,5室3厅,225.11,1900,84404,房本满五年,南北,其他,无,顶层(共6层)1999年建板楼,,-
东城,兴隆都市馨园 ,3室2厅,105,990,94286,房本满五年,南北,简装,无电梯,顶层(共6层)2003年建板塔结合,,-
东城,北京上舍 ,1室0厅,63.08,620,98288,房本满五年,西,精装,有电梯,低楼层(共15层)2008年建板楼,,-
东城,东花市北里中区 ,2室1厅,57.75,710,122944,房本满五年,南北,其他,无,低楼层(共6层)1994年建板楼,,-
东城,阳光都市 ,2室1厅,117.6,1350,114796,房本满五年,南,简装,有电梯,中楼层(共24层)2000年建塔楼,,-
东城,和平里一区 ,4室2厅,122.83,1320,107466,房本满五年,南北,简装,无电梯,中楼层(共6层)2001年建板楼,,-
东城,建国门北大街 ,2室1厅,57.89,665,114874,房本满五年,东南西北,简装,有电梯,低楼层(共17层)1990年建塔楼,,-
东城,东花市北里中区 ,2室2厅,88.79,1000,112626,房本满五年,南北,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,交道口东大街 ,3室1厅,93.23,1260,135150,房本满五年,南北,简装,有电梯,底层(共12层)2003年建板塔结合,,-
东城,华龙美晟 ,3室1厅,122.98,983,79932,房本满五年,东南,精装,有电梯,中楼层(共12层)2009年建板塔结合,,-
东城,东直门内大街 ,3室1厅,71.62,860,120079,房本满五年,南西,精装,有电梯,低楼层(共16层)2002年建塔楼,,-
